lga,lga_name,metro_rural,dh_region,area_of_lga_sq_km,asgc_code,most_populpus_community,distance_to_melbourne,travel_time_to_melbourne,remoteness_area,aria_measures_low_avg_high,business,industrial,residential,rural,other,per_annum_population_change_2000_2010,per_annum_projected_population_change_2010_2022,erp_2010_females_0_14,erp_2010_females_15_24,erp_2010_females_25_44,erp_2010_females_45_64,erp_2010_females_65_84,erp_2010_females_85,erp_2010_females_total,erp_2010_males_0_14,erp_2010_males_15_24,erp_2010_males_25_44,erp_2010_males_45_64,erp_2010_males_65_84,erp_2010_males_85,erp_2010_males_total,erp_2010_total_0_14,erp_2010_total_15_24,erp_2010_total_25_44,erp_2010_total_45_64,erp_2010_total_65_84,erp_2010_total_85,erp_2010_total,erp_2010_0_14,erp_2010_15_24,erp_2010_25_44,erp_2010_45_64,erp_2010_65_84,erp_2010_85,total_fertility_rate,rank_total_fertility_rate,atsi_population,rank_atsi_population,born_overseas,rank_born_overseas,speak_lote_at_home,rank_lote,low_english_proficiency,rank_low_english_proficiency,anglo_saxon_celtic_background,rank_anglo_saxon_celtic,new_settler_arrivals_per_100_000_population,rank_new_settler_arrivals,humanitarian_arrivals,rank_humanitarian_arrivals,believe_multiculturalism_makes_life_better,rank_believe_multiculturalism_makes_life_better,irsed,rank_irsed,households_with_internet_connected,rank_households_with_internet_connected,gaming_machine_losses_per_head_of_population,rank_gaming_machine_losses,family_incidents_per_1_000_population,rank_family_incidents_per_1_000_population,drug_usage_possession_offences_per_1_000_population,rank_drug_usage_possession_offences_per_1_000_population,total_offences_per_1_000_population,rank_total_offences_per_1_000_population,who_feel_safe_on_street_after_dark,rank_feel_safe_on_street_after_dark,of_population_which_volunteers,rank_population_which_volunteers,of_population_with_membership_of_organised_groups,rank_membership_of_organised_groups,of_parents_who_participate_in_schools,rank_parents_who_participate_in_schools,of_population_who_believe_the_area_has_good_facilities_and_se,rank_believe_the_area_has_good_facilities_and_services,unemployment_rate,rank_unemployment_rate,of_persons_with_individual_income_400_per_week,rank_individual_income_400,female_low_income,male_low_income,families_headed_by_one_parent,rank_one_parent_families,female_one_parent_families,male_one_parent_families,of_households_with_income_650_per_week,rank_households_with_income_650_per_week,low_income_families_with_children,rank_low_income_families_with_children,population_with_food_insecurity,rank_population_with_food_insecurity,of_households_with_housing_costs_40_of_income,rank_households_with_housing_costs_40_of_income,of_rental_housing_that_is_affordable,rank_rental_housing_that_is_affordable,median_house_price,rank_median_house_price,median_rent_for_3_bedroom_house,rank_median_rent_for_3_bedroom_house,new_dwellings_per_1_000_population,rank_new_dwellings_per_1_000_population,social_housing_as_a_percentage_of_total_dwellings,rank_social_housing_as_a_percentage_of_total_dwellings,dwellings_with_no_motor_vehicle,rank_dwellings_with_no_motor_vehicle,passenger_vehicles_per_1_000_population,rank_passenger_vehicles_per_1_000_population,motor_vehicles_more_than_ten_years_old,rank_motor_vehicles_more_than_ten_years_old,household_recycling_diversion_rate,rank_household_recycling_diversion_rate,household_garbage_yield_kg,rank_household_garbage_yield,fte_students,year_9_students_who_attain_tiol_minimum_standards_in_read,rank_year_9_students_who_attain_tiol_minimum_standards_in_r,year_9_students_who_attain_tiol_minimum_standards_in_writ,rank_year_9_students_who_attain_tiol_minimum_standards_in_w,year_9_students_who_attain_tiol_minimum_standards_in_nume,rank_year_9_students_who_attain_tiol_minimum_standards_in_n,of_population_who_did_not_complete_year_12,rank_population_who_did_not_complete_year_12,of_population_with_higher_education_qualification,rank_population_with_higher_education_qualification,students_attending_a_government_school,rank_students_attending_a_government_school,low_birth_weight_babies,rank_low_birth_weight_babies,persons_reporting_asthma,rank_persons_reporting_asthma,persons_reporting_type_2_diabetes,rank_persons_reporting_type_2_diabetes,asthma_admission_rate_ratio,rank_asthma_admission_rate_ratio,diabetes_complications_admission_rate_ratio,rank_diabetes_complications_admission_rate_ratio,persons_overweight_or_obese,rank_persons_overweight_or_obese,females_overweight_or_obese,rank_females_overweight_or_obese,males_overweight_or_obese,rank_males_overweight_or_obese,cancer_incidence_per_100_000_population,cancer_incidence___females_per_100_000,cancer_incidence___males_per_100_000,acsc_acute_per_1_000_population,rank_acsc_acute,acsc_chronic_per_1_000_population,rank_acsc_chronic,acsc_vaccine_preventablem_per_1_000_population,rank_acsc_vaccine_preventable,notifications_per_1_000_people_of_pertussis,rank_pertussis_notifications,notifications_per_1_000_people_of_influenza,rank_influenza_notifications,notifications_per_1_000_people_of_chlamydia,rank_chlamydia_notifications
Macedon Ranges ,MACEDON RANGES,Rural,Loddon Mallee,1747.81204,24130,Gisborne,55.6,44.8,Highly Accessible,(0.26 / 1.02 / 1.80),<1%,<1%,2.50%,85.10%,12.30%,0.014349857,0.016718079,4595,2628,5367,6378,2290,385,21643,4578,2590,4911,6353,2395,175,21002,9173,5218,10278,12731,4685,560,42645,0.215101419,0.12235901,0.241013014,0.298534412,0.109860476,0.013131668,2.02,38,0.00475797,57,0.133463937,36,0.04,44,0.003396647,54,0.818301226,36,60.96846055,63,0,,0.6271,57,1054.05,70,0.677690369,9,298.2479294,53,5.557509673,53,0.630556923,72,38.05868449,62,0.7708,8,0.258158272,39,0.647,40,0.519,45,0.7923,42,2.448825424,78,0.438724591,61,0.64782136,0.35217864,0.12109077,61,0.832675612,0.167324388,0.259813523,66,0.067771952,62,0.053,45,0.078692031,35,0.213872832,52,390000,28,337.5,22,9.825301911,25,0.017553595,63,0.039351487,75,637.9420753,12,0.515762439,45,0.351993702,48,454.2878861,43,7778.4,0.954627949,16,0.902573529,24,0.968634686,17,0.559059464,53,0.358316948,24,0.611164449,60,0.053840632,69,0.096916,55,0.042745,45,0.91,48,0.81,61,0.534379,34,0.50188,11,0.605382,34,527.6116778,425.0797024,633.2730216,10.73982882,71,14.98417165,70,0.422089342,70,1.946300856,19,0.164145855,60,1.805604408,61
Manningham ,MANNINGHAM,Metro,Eastern Metropolitan,113.3339004,24210,Doncaster East,20.2,30.9,Highly Accessible,(0.00 / 0.02 / 0.40),<1%,<1%,49.20%,27.30%,23%,0.005355358,0.006523419,9362,8201,14963,17060,9866,1513,60965,9967,8361,14646,15068,9303,880,58225,19329,16562,29609,32128,19169,2393,119190,0.162169645,0.13895461,0.248418491,0.269552815,0.160827251,0.020077188,1.57,74,0.001112328,79,0.358469255,6,0.371,10,0.056349349,12,0.469237445,72,455.5751321,19,0.003683241,40,0.8227,12,1081.29,75,0.715971907,4,686.8252913,26,3.90972397,65,0.595659871,73,28.95383254,75,0.6251,47,0.1835726,64,0.6626,32,0.6214,13,0.8833,19,4.194132668,54,0.43998678,59,0.625130778,0.374869222,0.115774937,68,0.830743618,0.169256382,0.233084557,71,0.044375923,74,0.026,77,0.074654772,44,0.006423983,78,750000,8,395,11,6.040775233,50,0.008294655,76,0.042558453,71,642.8535733,9,0.421336662,73,0.570632383,2,479.1923794,32,15682.9,0.932114883,31,0.890243902,26,0.939632546,47,0.412342563,69,0.523976132,13,0.564728069,72,0.062246671,52,0.097175,54,0.03458,60,0.6,75,0.76,68,0.455692,65,0.374656,63,0.534582,65,576.3906368,501.9273354,654.3580936,11.18382415,65,16.77154124,63,0.696367145,37,0.76348687,62,0.293648796,40,1.745112845,66
Mansfield ,MANSFIELD,Rural,Hume,3842.705002,24250,Mansfield,171.6,137.6,Accessible,(2.35 / 3.29 / 4.39),<1%,<1%,<1%,32.50%,67.20%,0.016058265,0.011373766,685,451,817,1302,581,89,3925,701,585,817,1297,599,48,4047,1386,1036,1634,2599,1180,137,7972,0.173858505,0.129954842,0.204967386,0.326016056,0.148018063,0.017185148,2.28,8,0.005958549,49,0.119336025,40,0.029,52,0.002061552,70,0.854478421,22,62.71951831,61,0,,0.6397,52,1007.9,50,0.549186391,43,234.4592369,60,3.386853989,72,1.955970898,23,49.3047416,47,0.7726,7,0.319538927,20,0.7372,5,0.3845,76,0.7561,55,3.955516239,58,0.495538257,34,0.583908046,0.416091954,0.11517761,70,0.82629108,0.17370892,0.413010008,19,0.068470652,61,0.076,19,0.069922309,48,0.7,28,231000,57,245,51,9.784244857,26,0.02313662,55,0.050345888,61,619.2930507,19,0.540750076,36,0.27937396,65,486.0950978,31,1370.5,0.994444444,1,0.972451791,3,0.994505495,2,0.621237933,42,0.287275907,46,0.600506757,64,0.05204461,71,0.079963,72,0.039964,48,0.43,79,0.73,72,0.464291,61,0.373343,64,0.531248,66,702.4586051,636.9426752,765.9995058,10.78775715,70,18.81585549,52,0.37631711,75,0.125439037,78,0.501756147,13,2.132463623,53
Maribyrnong ,MARIBYRNONG,Metro,North & West Metropolitan,31.22332906,24330,Yarraville,9,13.9,Highly Accessible,(0.00 / 0.00 / 0.00),7%,15.60%,45.50%,<1%,31.80%,0.01776561,0.019435476,5815,4576,13459,7305,3579,861,35595,6166,5430,14779,7504,3000,422,37301,11981,10006,28238,14809,6579,1283,72896,0.164357441,0.137264047,0.387373793,0.203152436,0.090251866,0.017600417,1.97,46,0.004487557,58,0.425602891,4,0.462,3,0.119103471,3,0.427399309,74,853.2704126,4,0.118971061,13,0.832,9,948.52,7,0.555753017,39,984.9227431,3,5.528424056,55,6.173710492,3,105.8405674,3,0.4632,77,0.137387339,72,0.527,73,0.5812,23,0.7773,47,6.873753464,10,0.484388579,42,0.56809032,0.43190968,0.198408624,3,0.847199741,0.152800259,0.345318192,45,0.125993326,10,0.091,8,0.114114486,5,0.047619048,63,600000,15,360,15,10.97453907,17,0.080897685,4,0.18771018,4,547.9798645,71,0.462867839,62,0.27449085,68,496.673584,30,9517.8,0.871759891,70,0.840482574,64,0.913580247,63,0.409420916,70,0.552003817,9,0.612755569,59,0.06779192,28,0.064308,78,0.054866,19,1.33,12,1.24,15,0.442241,68,0.32286,72,0.558609,55,360.7879719,368.0292176,353.8779121,12.14058385,55,18.69787094,53,1.083735733,10,0.64475417,66,0.205772608,52,2.620171203,33
Maroondah ,MAROONDAH,Metro,Eastern Metropolitan,61.40463234,24410,Croydon,30.4,46.3,Highly Accessible,(0.00 / 0.00 / 0.00),2%,8.10%,70%,2.90%,16.90%,0.007464709,0.008266287,9449,7006,15195,14199,7372,1559,54780,9811,7670,15222,12767,5985,697,52152,19260,14676,30417,26966,13357,2256,106932,0.180114465,0.1372461,0.284451801,0.252178955,0.124911158,0.02109752,1.92,51,0.003581851,67,0.196118217,27,0.094,29,0.01437191,30,0.755338743,50,262.7838252,26,0.192170819,6,0.7764,22,1045.93,64,0.658190306,17,831.4868972,7,5.573635581,52,1.547357199,36,55.15088561,40,0.5884,56,0.206361447,57,0.6331,48,0.5358,39,0.94,5,4.133031966,56,0.422377943,69,0.65415721,0.34584279,0.162495317,19,0.841971896,0.158028104,0.265298054,64,0.071296366,56,0.033,71,0.076699162,40,0.034534535,64,520000,21,350,18,4.535592713,61,0.032162625,43,0.070967194,39,630.2856806,14,0.474588844,59,0.540032253,6,452.5755744,45,17609.7,0.950842697,17,0.937238494,12,0.965614035,21,0.521070034,60,0.365910499,23,0.675670398,42,0.059127864,61,0.09785,52,0.049963,29,1.04,38,0.87,53,0.480442,56,0.365981,65,0.63571,20,521.8269554,445.4180358,602.0862095,14.67287622,28,18.21718475,57,0.523697303,58,1.197022407,37,0.261848651,44,2.665245203,31
Melbourne ,MELBOURNE,Metro,North & West Metropolitan,37.35175666,24600,Melbourne,NA,1.6,Highly Accessible,(0.00 / 0.00 / 0.00),4.40%,8.70%,17.50%,<1%,69.40%,0.071773463,0.037125013,2779,16098,19133,6372,2328,522,47232,2962,15057,21666,7089,2268,278,49320,5741,31155,40799,13461,4596,800,96552,0.059460187,0.322675864,0.422559864,0.139417102,0.047601293,0.008285691,1.03,79,0.003658135,65,0.494131937,2,0.388,8,0.047185948,14,0.500224671,70,1312.246251,1,0.013417522,35,0.9081,1,1049.18,67,0.77436695,2,711.7312554,21,6.980694341,35,11.07623975,1,273.1434305,1,0.6041,53,0.206354312,58,0.6518,37,0.3987,70,0.8574,24,3.419400792,67,0.41987425,70,0.560811097,0.439188903,0.098312659,77,0.826155051,0.173844949,0.3125842,50,0.073684292,53,0.051,49,0.237745927,1,0.009240924,75,805000,7,580,5,65.17731378,1,0.058962546,13,0.376367153,1,652.2181042,5,0.212946763,79,0.176799672,78,746.2963588,1,8006.5,0.979787234,4,0.969312169,4,0.989327641,4,0.1608243,79,0.732963622,1,0.525544959,73,0.070742358,21,0.094176,59,0.015693,79,1.21,20,0.94,42,0.347425,78,0.252983,78,0.440128,77,314.8562433,271.00271,356.8532036,8.068191234,78,8.026762781,79,0.466070097,64,0.600712569,72,0.486784323,14,9.321401939,1
Melton ,MELTON,Metro,North & West Metropolitan,527.4746695,24650,Melton,38.8,60.2,Highly Accessible,(0.00 / 0.22 / 0.59),<1%,1.50%,11%,56.90%,30.30%,0.081991958,0.041410552,12583,7064,18659,11531,3000,388,53225,13199,7576,18737,11232,2889,292,53925,25782,14640,37396,22763,5889,680,107150,0.240615959,0.136630891,0.349006066,0.212440504,0.054960336,0.006346244,2.2,12,0.006804726,40,0.259252268,23,0.257,16,0.031294471,20,0.54649612,66,255.7162856,28,0.054744526,21,0.7379,30,1009.83,51,0.643282515,22,608.3372909,31,8.250116659,26,1.547592161,35,67.00409799,27,0.5235,68,0.118665776,75,0.5162,74,0.5026,50,0.8178,35,7.528609222,6,0.417399352,71,0.651840355,0.348159645,0.161962902,20,0.847649449,0.152350551,0.220896498,74,0.152972338,2,0.061,34,0.118826425,3,0.550055006,38,339000,35,285,36,18.25478301,11,0.01664094,65,0.041548514,74,533.1138656,74,0.495301314,54,0.388964771,36,504.9611594,25,18316.2,0.909722222,48,0.887931034,28,0.925925926,55,0.553487245,54,0.293002985,39,0.65225845,48,0.069578249,22,0.113124,35,0.093301,1,1.04,38,1.29,13,0.581687,9,0.493008,15,0.663706,12,263.1824545,238.6096759,287.4362541,11.42323845,61,13.87774148,72,0.48530098,63,1.063929071,45,0.111992534,67,2.342510499,47
Metropolitan,METROPOLITAN,,,8829.061343,NA,,,,NA,,<1%,2.10%,16%,41.20%,39.90%,0.017644578,0.014963795,358923,288737,628157,494264,239173,46537,2055791,378338,306977,628271,475016,208682,24585,2021869,737261,595714,1256428,969280,447855,71122,4077660,0.180804922,0.146092121,0.308124758,0.237704958,0.109831374,0.017441866,,2,0.004255223,0,0.310456954,1,0.279,,0.052179467,1,0.570835822,2,532.7320081,1,0.070110022,2,0.7995,1,,,0.637690859,1,650.7158712,1,6.925050151,2,2.023508066,1,65.39451614,1,0.5662,2,0.172472354,2,0.5931,2,0.4986,1,0.8754,2,4.869469355,2,0.442723752,2,0.621950264,0.378049736,0.15381952,1,0.837011179,0.162988821,0.277195883,2,0.085658012,2,0.054,2,0.096605354,1,0.102,,495000,1,,,11.76925001,1,0.036259973,2,0.100843992,1,595.6348462,1,0.449259785,2,0.439225001,1,484.2606512,1,617295.6,0.928008323,1,0.906190246,1,0.947255138,1,0.462268047,2,0.473825639,1,0.613118576,2,0.065,2,0.106,,0.048,,1,,1.02,,0.468,,0.383,,0.558,,477.8475891,423.0488411,533.5657256,12.44537308,2,18.27126342,2,0.736942266,1,1.01725009,2,0.397286679,1,2.897004655,1
Mildura ,MILDURA,Rural,Loddon Mallee,22107.32514,24780,Mildura,540.3,407.8,Moderately Accessible,(2.51 / 5.31 / 7.73),<1%,<1%,<1%,43.60%,56.20%,0.010811684,0.009311555,5574,3556,7124,6766,3740,701,27461,5929,3667,6770,6911,3269,330,26876,11503,7223,13894,13677,7009,1031,54337,0.21169737,0.13292968,0.255700536,0.25170694,0.128991295,0.01897418,2.01,39,0.030858694,3,0.101414185,50,0.087,32,0.016884178,27,0.776298632,47,103.0605297,41,0.25,5,0.6909,42,957.89,12,0.495995671,63,603.4243668,32,17.18902405,1,2.917601266,12,90.25265473,6,0.542,65,0.223769013,47,0.662,33,0.5631,30,0.8361,30,6.970976024,8,0.504262166,24,0.604198153,0.395801847,0.164932127,18,0.837837838,0.162162162,0.39240149,27,0.132921662,8,0.093,7,0.082350395,27,0.799498747,20,210000,62,250,48,5.465888805,56,0.059480248,12,0.088715602,19,510.7346707,79,0.548196089,33,0.259908058,71,416.6845673,55,9858,0.856389987,76,0.827210884,73,0.905317769,71,0.696561432,16,0.278756385,49,0.74217482,22,0.066571564,36,0.107209,38,0.048515,31,0.87,55,0.9,46,0.569159,14,0.469714,31,0.688972,8,568.6732797,422.4172463,718.1128144,13.9683825,33,19.32384931,47,0.699339308,35,1.877173933,21,0.09201833,69,0.809761304,77
Mitchell ,MITCHELL,Rural,Hume,2861.599619,24850,Seymour,97,77.2,Highly Accessible,(0.31 / 1.28 / 2.18),<1%,<1%,1.30%,69.20%,29.30%,0.023851367,0.049493312,3643,2453,4699,4249,1822,238,17104,4066,2835,4589,4571,1754,125,17940,7709,5288,9288,8820,3576,363,35044,0.219980596,0.150896016,0.265038238,0.251683598,0.102043146,0.010358407,2.14,22,0.011860915,13,0.113423769,44,0.052,36,0.007521344,36,0.815512946,38,71.33888825,57,0,,0.6208,58,999.8,46,0.581267483,31,574.126292,36,12.07053989,7,1.757205228,29,74.13670528,15,0.6787,33,0.21792883,51,0.5561,68,0.391,72,0.7114,63,5.984426144,19,0.462520535,53,0.631114268,0.368885732,0.158300686,23,0.827799228,0.172200772,0.299319047,55,0.108928571,21,0.05,50,0.089304658,18,0.502590674,40,289750,42,275,40,18.74785983,9,0.036802869,34,0.051,60,583.7025568,48,0.539899642,37,0.343535076,49,474.3747799,34,6842.3,0.902111324,54,0.878326996,37,0.936538462,50,0.665525649,28,0.240642387,74,0.682605798,38,0.067859806,27,0.098882,51,0.050124,28,0.72,67,0.97,40,0.562992,20,0.512053,8,0.61598,31,505.0793288,485.2666043,523.9687848,11.35715101,63,17.14986874,61,0.599246661,52,1.45531332,31,0.684853327,4,1.769204429,65
Moira ,MOIRA,Rural,Hume,4046.422771,24900,Yarrawonga,256.6,196.9,Accessible,(1.52 / 2.10 / 3.10),<1%,<1%,<1%,86%,13%,0.010079223,0.011029803,2671,1619,3207,3896,2645,469,14507,2786,1837,3265,4053,2621,316,14878,5457,3456,6472,7949,5266,785,29385,0.185706993,0.117611026,0.220248426,0.270512166,0.179207078,0.02671431,2.14,22,0.012085992,12,0.087004362,55,0.045,40,0.008575274,34,0.855380002,21,61.25574273,62,0.111111111,14,0.6416,49,970.61,22,0.47941554,70,81.38856236,69,3.335034882,73,1.081129828,55,42.41173388,57,0.6488,44,0.278316495,33,0.7063,12,0.6411,10,0.7943,41,5.831928553,21,0.524441306,18,0.592631781,0.407368219,0.127462971,54,0.802350427,0.197649573,0.417602803,18,0.10246296,24,0.07,25,0.071484992,47,0.835365854,13,235000,56,230,58,7.554874936,34,0.036269198,37,0.062024275,52,571.5357665,56,0.570960903,20,0.365908769,41,397.9656135,64,4877.3,0.925449871,35,0.870229008,43,0.946700508,40,0.728430715,6,0.218084267,77,0.64256573,52,0.071907958,20,0.113777,33,0.03724,53,1.16,24,0.9,46,0.592417,3,0.48721,19,0.703494,6,687.4255573,585.9240367,786.396021,13.10192275,46,26.98655777,19,0.408371618,71,0.952867109,52,0.034030968,75,1.667517441,68
Monash ,MONASH,Metro,Eastern Metropolitan,81.4924674,24970,Glen Waverley,22.5,34.9,Highly Accessible,(0.00 / 0.00 / 0.00),7.60%,4%,66.80%,<1%,21.70%,0.009224272,0.006072858,12625,13762,24153,21996,13850,2481,88867,13718,15998,25552,20190,12123,1278,88859,26343,29760,49705,42186,25973,3759,177726,0.148222545,0.167448769,0.279672079,0.237365383,0.146140688,0.021150535,1.59,73,0.002175356,73,0.422431472,5,0.405,7,0.062268033,9,0.486363925,71,953.1526057,3,0.02420307,31,0.8281,11,1052.94,69,0.684802111,8,850.1480663,5,3.797981162,66,0.688035515,71,46.26056739,52,0.5505,64,0.185962014,63,0.6724,24,0.4848,55,0.9165,11,5.252683664,30,0.471102477,48,0.599121176,0.400878824,0.129979325,51,0.839816124,0.160183876,0.275238266,61,0.050647984,72,0.06,37,0.088951821,19,0.029142381,66,720000,9,390,12,11.10698491,16,0.023079085,56,0.080042883,27,645.5568667,7,0.426681446,70,0.574507359,1,361.9565217,74,29982.3,0.956184568,15,0.935446463,13,0.968639749,16,0.386276797,72,0.550419559,10,0.634741739,56,0.063195691,49,0.113915,32,0.039916,49,1.12,31,0.78,65,0.439812,69,0.389276,61,0.490767,74,510.3361354,434.3569604,586.3221508,11.1632513,66,18.58478782,54,0.804609342,29,0.810235981,59,0.365731519,32,1.879297345,60
Moonee Valley ,MOONEE VALLEY,Metro,North & West Metropolitan,43.13632114,25060,Essendon,9,14.8,Highly Accessible,(0.00 / 0.00 / 0.00),3.50%,1.50%,67%,<1%,28%,0.002357322,0.006764165,8964,7468,17731,13859,8062,1653,57737,9233,7939,17177,12930,6888,900,55067,18197,15407,34908,26789,14950,2553,112804,0.161315202,0.136582036,0.309457111,0.237482713,0.132530761,0.022632176,1.6,71,0.003292652,69,0.287625857,19,0.309,11,0.06177875,10,0.506627551,69,642.7077054,10,0.009655172,37,0.8016,16,1015.63,55,0.589931441,29,874.1033304,4,5.762207014,48,2.282936775,20,66.30203628,28,0.5631,62,0.164179664,67,0.6128,56,0.4797,56,0.9337,8,3.160865333,72,0.442501614,58,0.613353166,0.386646834,0.152383349,29,0.849386213,0.150613787,0.303994064,53,0.056407722,69,0.043,60,0.079319903,32,0.017899761,69,712500,11,400,8,10.90386866,18,0.08555828,3,0.137933709,8,559.7628976,63,0.445037761,67,0.41956687,25,438.7697018,48,21113.2,0.956685499,14,0.94235589,9,0.972098922,14,0.450067561,68,0.520117975,14,0.451860431,77,0.065012635,41,0.103062,45,0.031221,70,1.02,41,1.17,19,0.449779,67,0.358517,67,0.57128,51,544.3069395,462.4417618,630.141464,13.05804759,47,21.79000745,37,0.638275238,45,1.0992518,42,0.452111627,20,2.783589234,25
Moorabool ,MOORABOOL,Rural,Grampians,2110.24256,25150,Bacchus Marsh,52.8,43,Highly Accessible,(0.21 / 0.88 / 1.47),<1%,<1%,1.20%,67.60%,31.10%,0.014954109,0.022157416,2949,1743,3901,3901,1588,256,14338,3068,1936,3642,3996,1483,143,14268,6017,3679,7543,7897,3071,399,28606,0.210340488,0.128609383,0.26368594,0.276060966,0.1073551,0.013948123,1.98,44,0.00722008,36,0.121828884,38,0.039,45,0.004024554,47,0.811555663,39,76.9069426,54,0,,0.6323,56,1011.84,52,0.606960662,24,389.3225541,47,5.942809201,47,0.962130322,59,42.75771866,56,0.6786,34,0.231705973,43,0.5683,64,0.4067,69,0.6749,67,4.269846612,51,0.470633355,50,0.637834692,0.362165308,0.143860152,38,0.833,0.167,0.299335587,54,0.08728901,42,0.042,62,0.076425899,41,0.631578947,34,305000,38,280,37,12.79451863,14,0.034167263,41,0.045001758,67,579.975166,51,0.522043381,42,0.366357788,40,427.0135068,53,4648.7,0.933333333,29,0.882352941,33,0.95045045,37,0.645466099,35,0.291903114,41,0.617949774,58,0.054933876,67,0.117185,29,0.049633,30,0.66,70,0.9,46,0.531475,38,0.493696,13,0.589463,41,527.8612878,439.3918259,616.7647883,13.42375725,42,15.94071174,68,0.279661609,77,2.37712368,12,0.454450115,18,2.726700692,28
Moreland ,MORELAND,Metro,North & West Metropolitan,50.94202875,25250,Coburg,8.1,12.4,Highly Accessible,(0.00 / 0.00 / 0.00),3.20%,6%,69.20%,<1%,21.60%,0.010583712,0.009344097,12080,9783,26756,15429,10751,2061,76860,12602,10334,26447,14900,8423,1272,73978,24682,20117,53203,30329,19174,3333,150838,0.163632506,0.133368249,0.352716159,0.201070022,0.127116509,0.022096554,1.69,69,0.005003303,54,0.348866479,7,0.42,5,0.088743094,5,0.418754783,76,696.7740225,7,0.060894386,19,0.8464,7,987.1,34,0.549547477,42,577.4299624,35,6.278258794,43,1.882016468,25,69.51733184,23,0.5411,66,0.144624636,70,0.5731,62,0.6182,14,0.783,44,5.337692919,28,0.49103297,38,0.594816587,0.405183413,0.166386798,16,0.840173913,0.159826087,0.345135547,46,0.085119282,43,0.101,5,0.097625988,16,0.016624041,71,590000,16,380,14,8.949999337,30,0.036621615,35,0.162983758,6,548.6253616,69,0.495317371,53,0.41432391,27,413.713,58,16235.2,0.889265537,63,0.888268156,27,0.897377423,73,0.456787315,66,0.542829129,11,0.567520683,71,0.063658099,45,0.10377,43,0.069999,6,1.23,19,1.34,9,0.47291,57,0.46649,34,0.490932,73,473.3555205,468.3840749,478.5206413,12.7421472,51,24.71525743,25,0.961296225,17,1.040851775,47,0.377888861,29,2.764555351,26
Mornington Peninsula ,MORNINGTON PENINSULA,Metro,Southern Metropolitan,724.2448613,25340,Mornington,52.9,79.8,Highly Accessible,(0.00 / 0.13 / 0.67),<1%,<1%,18.40%,58.80%,22.10%,0.015625566,0.008214526,12887,8476,17496,20712,13988,2570,76129,14084,10032,16670,19185,12635,1503,74109,26971,18508,34166,39897,26623,4073,150238,0.179521825,0.123191203,0.227412505,0.265558647,0.177205501,0.027110318,2,42,0.00512314,51,0.18657883,28,0.048,39,0.005480053,39,0.819935358,35,109.8257432,40,0,,0.71,36,1026.24,60,0.597329163,27,714.3407812,20,6.682730068,40,1.374037194,45,52.91676673,42,0.6433,45,0.209704423,56,0.6672,28,0.4302,66,0.8536,27,4.560597542,46,0.469719825,52,0.635758328,0.364241672,0.148573638,34,0.832434443,0.167565557,0.348087738,44,0.088801911,39,0.087,9,0.087194498,22,0.257309942,49,475000,23,300,32,10.06403174,23,0.023205387,54,0.060252005,54,636.5497238,13,0.479771726,57,0.424187096,24,330.8540651,76,23464.1,0.945686901,19,0.910119422,20,0.961880559,25,0.585915522,48,0.311627584,34,0.687930862,35,0.054054054,68,0.13489,10,0.032548,66,0.79,64,0.84,57,0.467064,59,0.446862,40,0.460448,76,766.7833704,560.8900682,978.2887369,16.46720537,11,24.82727406,24,0.632330036,46,1.843741264,22,0.652298353,5,2.715691103,29
Mount Alexander ,MOUNT ALEXANDER,Rural,Loddon Mallee,1529.159158,25430,Castlemaine,120.1,95.1,Highly Accessible,(0.59 / 1.07 / 1.59),<1%,<1%,1.90%,79.30%,18.70%,0.008077898,0.00795896,1458,882,1916,3051,1574,333,9214,1649,1079,1987,2858,1449,185,9207,3107,1961,3903,5909,3023,518,18421,0.168666196,0.10645459,0.211877748,0.320775202,0.164106183,0.02812008,1.88,57,0.007812942,28,0.100909376,51,0.023,61,0.001760674,75,0.867441454,15,86.85739102,51,0,,0.7166,32,980.88,30,0.548137109,44,227.2594941,61,5.374301069,57,1.457206449,43,48.66724933,50,0.7737,6,0.319760773,19,0.697,18,0.5268,42,0.7501,58,4.934489455,39,0.543925383,11,0.595778983,0.404221017,0.17030276,14,0.845751634,0.154248366,0.455049261,9,0.11149277,18,0.083,13,0.078390462,36,0.409638554,44,295000,41,290,35,5.917159763,52,0.036341771,36,0.078163772,30,612.3694425,27,0.619447234,7,0.403322255,29,367.3972603,72,2277,0.976377953,5,0.908396947,22,0.950819672,36,0.613656931,44,0.373911397,21,0.764208909,15,0.068093385,26,0.089664,68,0.03166,69,0.91,48,0.75,70,0.496821,51,0.442789,45,0.588223,43,667.7161935,607.7707836,727.7071793,13.46289561,38,19.3257695,46,0.597144563,53,1.140003257,39,0.271429347,42,2.334292384,48
